,empo_1,empo_2,empo_3
671,Host-associated,Animal,Animal distal gut
672,Free-living,Non-saline,Water (non-saline)
673,Host-associated,Animal,Animal surface
674,Free-living,Non-saline,Water (non-saline)
675,Host-associated,Animal,Animal surface
676,Host-associated,Animal,Animal surface
677,Free-living,Saline,Sediment (saline)
678,Free-living,Non-saline,Soil (non-saline)
679,Free-living,Saline,Water (saline)
680,Host-associated,Animal,Animal surface
681,Free-living,Non-saline,Soil (non-saline)
682,Free-living,Non-saline,Soil (non-saline)
683,Host-associated,Animal,Animal surface
684,Host-associated,Animal,Animal distal gut
685,Free-living,Non-saline,Water (non-saline)
686,Free-living,Non-saline,Soil (non-saline)
687,Free-living,Non-saline,Water (non-saline)
688,Free-living,Non-saline,Water (non-saline)
689,Host-associated,Animal,Animal distal gut
690,Free-living,Non-saline,Surface (non-saline)
691,Free-living,Saline,Water (saline)
692,Host-associated,Animal,Animal surface
693,Free-living,Saline,Sediment (saline)
694,Host-associated,Plant,Plant surface
695,Host-associated,Plant,Plant surface
696,Free-living,Non-saline,Water (non-saline)
697,Free-living,Non-saline,Surface (non-saline)
698,Host-associated,Animal,Animal distal gut
699,Host-associated,Plant,Plant surface
700,Host-associated,Animal,Animal surface
701,Host-associated,Animal,Animal distal gut
702,Free-living,Non-saline,Water (non-saline)
703,Free-living,Non-saline,Sediment (non-saline)
704,Host-associated,Animal,Animal distal gut
705,Host-associated,Plant,Plant rhizosphere
706,Host-associated,Animal,Animal distal gut
707,Host-associated,Animal,Animal distal gut
708,Free-living,Non-saline,Soil (non-saline)
709,Free-living,Non-saline,Water (non-saline)
710,Host-associated,Animal,Animal surface
711,Free-living,Non-saline,Water (non-saline)
712,Free-living,Non-saline,Water (non-saline)
713,Free-living,Non-saline,Water (non-saline)
714,Free-living,Non-saline,Soil (non-saline)
715,Free-living,Non-saline,Water (non-saline)
716,Free-living,Non-saline,Water (non-saline)
717,Host-associated,Animal,Animal surface
718,Free-living,Non-saline,Water (non-saline)
719,Free-living,Non-saline,Surface (non-saline)
720,Free-living,Non-saline,Water (non-saline)
721,Free-living,Saline,Sediment (saline)
722,Free-living,Non-saline,Soil (non-saline)
723,Free-living,Saline,Sediment (saline)
724,Free-living,Non-saline,Water (non-saline)
725,Host-associated,Animal,Animal surface
726,Host-associated,Animal,Animal surface
727,Host-associated,Plant,Plant surface
728,Host-associated,Animal,Animal distal gut
729,Host-associated,Plant,Plant surface
730,Free-living,Non-saline,Sediment (non-saline)
731,Free-living,Non-saline,Soil (non-saline)
732,Host-associated,Plant,Plant surface
733,Free-living,Non-saline,Surface (non-saline)
734,Free-living,Non-saline,Water (non-saline)
735,Free-living,Non-saline,Soil (non-saline)
736,Free-living,Non-saline,Water (non-saline)
737,Free-living,Non-saline,Water (non-saline)
738,Host-associated,Animal,Animal surface
739,Free-living,Non-saline,Soil (non-saline)
740,Host-associated,Animal,Animal surface
741,Host-associated,Animal,Animal corpus
742,Free-living,Non-saline,Surface (non-saline)
743,Free-living,Non-saline,Water (non-saline)
744,Free-living,Non-saline,Water (non-saline)
745,Free-living,Non-saline,Soil (non-saline)
746,Host-associated,Plant,Plant rhizosphere
747,Free-living,Non-saline,Soil (non-saline)
748,Free-living,Non-saline,Soil (non-saline)
749,Host-associated,Animal,Animal surface
750,Host-associated,Animal,Animal surface
751,Host-associated,Animal,Animal secretion
752,Free-living,Non-saline,Water (non-saline)
753,Host-associated,Animal,Animal distal gut
754,Free-living,Non-saline,Soil (non-saline)
755,Free-living,Non-saline,Soil (non-saline)
756,Free-living,Non-saline,Soil (non-saline)
757,Host-associated,Animal,Animal secretion
758,Free-living,Non-saline,Soil (non-saline)
759,Free-living,Non-saline,Soil (non-saline)
760,Free-living,Saline,Sediment (saline)
761,Host-associated,Plant,Plant surface
762,Host-associated,Animal,Animal surface
763,Host-associated,Animal,Animal surface
764,Free-living,Non-saline,Water (non-saline)
765,Host-associated,Animal,Animal surface
766,Host-associated,Animal,Animal surface
767,Free-living,Non-saline,Water (non-saline)
768,Free-living,Non-saline,Soil (non-saline)
769,Free-living,Non-saline,Soil (non-saline)
770,Host-associated,Animal,Animal secretion
771,Host-associated,Animal,Animal corpus
772,Free-living,Non-saline,Soil (non-saline)
773,Free-living,Non-saline,Water (non-saline)
774,Free-living,Non-saline,Water (non-saline)
775,Host-associated,Animal,Animal surface
776,Free-living,Non-saline,Soil (non-saline)
777,Free-living,Non-saline,Surface (non-saline)
778,Host-associated,Animal,Animal distal gut
779,Host-associated,Plant,Plant surface
780,Free-living,Non-saline,Surface (non-saline)
781,Free-living,Non-saline,Soil (non-saline)
782,Free-living,Non-saline,Surface (non-saline)
783,Free-living,Non-saline,Water (non-saline)
784,Free-living,Non-saline,Soil (non-saline)
785,Free-living,Non-saline,Soil (non-saline)
786,Free-living,Non-saline,Water (non-saline)
787,Free-living,Non-saline,Water (non-saline)
788,Free-living,Non-saline,Soil (non-saline)
789,Host-associated,Plant,Plant surface
790,Free-living,Non-saline,Water (non-saline)
791,Host-associated,Animal,Animal distal gut
792,Host-associated,Plant,Plant surface
793,Host-associated,Animal,Animal distal gut
794,Free-living,Non-saline,Sediment (non-saline)
795,Host-associated,Animal,Animal secretion
796,Host-associated,Animal,Animal proximal gut
797,Host-associated,Plant,Plant corpus
798,Host-associated,Animal,Animal distal gut
799,Host-associated,Animal,Animal surface
800,Host-associated,Plant,Plant surface
801,Free-living,Non-saline,Soil (non-saline)
802,Free-living,Non-saline,Soil (non-saline)
803,Host-associated,Animal,Animal corpus
804,Host-associated,Animal,Animal surface
805,Free-living,Non-saline,Surface (non-saline)
806,Host-associated,Plant,Plant surface
807,Free-living,Non-saline,Soil (non-saline)
808,Free-living,Non-saline,Soil (non-saline)
809,Host-associated,Animal,Animal surface
810,Host-associated,Plant,Plant surface
811,Free-living,Non-saline,Water (non-saline)
812,Free-living,Non-saline,Sediment (non-saline)
813,Free-living,Non-saline,Surface (non-saline)
814,Free-living,Saline,Sediment (saline)
815,Host-associated,Animal,Animal distal gut
816,Free-living,Non-saline,Soil (non-saline)
817,Host-associated,Animal,Animal distal gut
818,Host-associated,Plant,Plant surface
819,Host-associated,Animal,Animal distal gut
820,Free-living,Non-saline,Water (non-saline)
821,Host-associated,Plant,Plant surface
822,Host-associated,Animal,Animal surface
823,Free-living,Non-saline,Water (non-saline)
824,Host-associated,Animal,Animal surface
825,Host-associated,Animal,Animal distal gut
826,Free-living,Non-saline,Water (non-saline)
827,Host-associated,Animal,Animal secretion
828,Free-living,Non-saline,Water (non-saline)
829,Host-associated,Animal,Animal surface
830,Host-associated,Animal,Animal distal gut
831,Host-associated,Animal,Animal distal gut
832,Host-associated,Animal,Animal surface
833,Free-living,Non-saline,Soil (non-saline)
834,Free-living,Saline,Sediment (saline)
835,Host-associated,Animal,Animal distal gut
836,Free-living,Non-saline,Soil (non-saline)
837,Free-living,Saline,Sediment (saline)
838,Free-living,Non-saline,Soil (non-saline)
839,Host-associated,Animal,Animal distal gut
840,Host-associated,Animal,Animal corpus
841,Free-living,Non-saline,Water (non-saline)
842,Free-living,Saline,Water (saline)
843,Host-associated,Plant,Plant rhizosphere
844,Host-associated,Animal,Animal distal gut
845,Host-associated,Animal,Animal distal gut
846,Host-associated,Animal,Animal surface
847,Host-associated,Animal,Animal secretion
848,Host-associated,Plant,Plant rhizosphere
849,Free-living,Non-saline,Water (non-saline)
850,Host-associated,Animal,Animal surface
851,Free-living,Saline,Water (saline)
852,Host-associated,Plant,Plant surface
853,Host-associated,Animal,Animal distal gut
854,Host-associated,Animal,Animal distal gut
855,Host-associated,Animal,Animal surface
856,Host-associated,Animal,Animal distal gut
857,Host-associated,Animal,Animal surface
858,Free-living,Non-saline,Water (non-saline)
859,Free-living,Saline,Water (saline)
860,Free-living,Non-saline,Soil (non-saline)
861,Free-living,Non-saline,Soil (non-saline)
862,Free-living,Non-saline,Water (non-saline)
863,Host-associated,Animal,Animal distal gut
864,Free-living,Non-saline,Sediment (non-saline)
865,Host-associated,Animal,Animal surface
866,Free-living,Non-saline,Soil (non-saline)
867,Host-associated,Animal,Animal proximal gut
868,Host-associated,Plant,Plant surface
869,Free-living,Non-saline,Soil (non-saline)
870,Free-living,Non-saline,Soil (non-saline)
871,Free-living,Non-saline,Surface (non-saline)
872,Free-living,Non-saline,Surface (non-saline)
873,Host-associated,Animal,Animal distal gut
874,Free-living,Non-saline,Soil (non-saline)
875,Free-living,Non-saline,Soil (non-saline)
876,Host-associated,Plant,Plant surface
877,Free-living,Non-saline,Soil (non-saline)
878,Free-living,Non-saline,Soil (non-saline)
879,Host-associated,Plant,Plant surface
880,Host-associated,Animal,Animal distal gut
881,Host-associated,Animal,Animal distal gut
882,Free-living,Non-saline,Water (non-saline)
883,Free-living,Non-saline,Water (non-saline)
884,Free-living,Non-saline,Water (non-saline)
885,Free-living,Non-saline,Soil (non-saline)
886,Host-associated,Plant,Plant rhizosphere
887,Host-associated,Animal,Animal distal gut
888,Host-associated,Animal,Animal secretion
889,Host-associated,Animal,Animal distal gut
890,Host-associated,Animal,Animal secretion
891,Free-living,Non-saline,Soil (non-saline)
892,Host-associated,Animal,Animal distal gut
893,Host-associated,Animal,Animal distal gut
894,Free-living,Saline,Water (saline)
895,Free-living,Non-saline,Soil (non-saline)
896,Host-associated,Animal,Animal secretion
897,Free-living,Non-saline,Soil (non-saline)
898,Host-associated,Plant,Plant surface
899,Free-living,Non-saline,Soil (non-saline)
900,Free-living,Non-saline,Water (non-saline)
901,Host-associated,Animal,Animal distal gut
902,Host-associated,Animal,Animal distal gut
903,Free-living,Non-saline,Surface (non-saline)
904,Free-living,Non-saline,Soil (non-saline)
905,Free-living,Saline,Water (saline)
906,Host-associated,Animal,Animal surface
907,Free-living,Non-saline,Soil (non-saline)
908,Free-living,Non-saline,Surface (non-saline)
909,Free-living,Non-saline,Soil (non-saline)
910,Host-associated,Animal,Animal distal gut
911,Free-living,Non-saline,Soil (non-saline)
912,Free-living,Non-saline,Water (non-saline)
913,Free-living,Non-saline,Water (non-saline)
914,Free-living,Non-saline,Soil (non-saline)
915,Host-associated,Animal,Animal distal gut
916,Free-living,Non-saline,Soil (non-saline)
917,Host-associated,Animal,Animal surface
918,Host-associated,Animal,Animal distal gut
919,Free-living,Non-saline,Soil (non-saline)
920,Host-associated,Animal,Animal surface
921,Host-associated,Animal,Animal corpus
922,Host-associated,Animal,Animal surface
923,Host-associated,Animal,Animal distal gut
924,Host-associated,Animal,Animal secretion
925,Host-associated,Animal,Animal secretion
926,Host-associated,Plant,Plant rhizosphere
927,Free-living,Non-saline,Water (non-saline)
928,Free-living,Non-saline,Soil (non-saline)
929,Host-associated,Animal,Animal distal gut
930,Free-living,Saline,Sediment (saline)
931,Free-living,Non-saline,Water (non-saline)
932,Free-living,Non-saline,Water (non-saline)
933,Free-living,Non-saline,Water (non-saline)
934,Free-living,Non-saline,Sediment (non-saline)
935,Free-living,Non-saline,Soil (non-saline)
936,Host-associated,Animal,Animal secretion
937,Host-associated,Animal,Animal surface
938,Free-living,Non-saline,Soil (non-saline)
939,Host-associated,Animal,Animal proximal gut
940,Free-living,Non-saline,Soil (non-saline)
941,Host-associated,Animal,Animal secretion
942,Free-living,Non-saline,Soil (non-saline)
943,Host-associated,Animal,Animal surface
944,Host-associated,Animal,Animal distal gut
945,Free-living,Non-saline,Soil (non-saline)
946,Host-associated,Plant,Plant surface
947,Free-living,Non-saline,Soil (non-saline)
948,Host-associated,Animal,Animal surface
949,Free-living,Non-saline,Water (non-saline)
950,Free-living,Non-saline,Water (non-saline)
951,Host-associated,Plant,Plant surface
952,Free-living,Saline,Surface (saline)
953,Host-associated,Plant,Plant surface
954,Free-living,Non-saline,Water (non-saline)
955,Host-associated,Plant,Plant corpus
956,Host-associated,Animal,Animal surface
957,Host-associated,Animal,Animal surface
958,Host-associated,Animal,Animal distal gut
959,Free-living,Non-saline,Water (non-saline)
960,Free-living,Non-saline,Sediment (non-saline)
961,Host-associated,Animal,Animal distal gut
962,Free-living,Non-saline,Soil (non-saline)
963,Free-living,Non-saline,Water (non-saline)
964,Free-living,Non-saline,Soil (non-saline)
965,Host-associated,Animal,Animal distal gut
966,Free-living,Non-saline,Sediment (non-saline)
967,Host-associated,Animal,Animal secretion
968,Free-living,Non-saline,Water (non-saline)
969,Free-living,Non-saline,Water (non-saline)
970,Host-associated,Animal,Animal surface
971,Host-associated,Animal,Animal distal gut
972,Free-living,Non-saline,Water (non-saline)
973,Host-associated,Plant,Plant surface
974,Host-associated,Animal,Animal distal gut
975,Host-associated,Animal,Animal distal gut
976,Host-associated,Plant,Plant surface
977,Free-living,Non-saline,Water (non-saline)
978,Host-associated,Animal,Animal surface
979,Host-associated,Animal,Animal surface
980,Host-associated,Plant,Plant rhizosphere
981,Free-living,Non-saline,Sediment (non-saline)
982,Free-living,Non-saline,Soil (non-saline)
983,Free-living,Non-saline,Soil (non-saline)
984,Host-associated,Plant,Plant surface
985,Host-associated,Animal,Animal secretion
986,Host-associated,Animal,Animal surface
987,Host-associated,Plant,Plant surface
988,Host-associated,Animal,Animal distal gut
989,Free-living,Non-saline,Soil (non-saline)
990,Free-living,Non-saline,Soil (non-saline)
991,Host-associated,Animal,Animal distal gut
992,Free-living,Non-saline,Water (non-saline)
993,Free-living,Non-saline,Water (non-saline)
994,Free-living,Non-saline,Soil (non-saline)
995,Host-associated,Animal,Animal secretion
996,Host-associated,Animal,Animal surface
997,Host-associated,Plant,Plant surface
998,Host-associated,Plant,Plant surface
999,Host-associated,Animal,Animal surface
1000,Free-living,Non-saline,Water (non-saline)
1001,Free-living,Non-saline,Water (non-saline)
1002,Host-associated,Animal,Animal secretion
1003,Free-living,Non-saline,Soil (non-saline)
1004,Host-associated,Animal,Animal surface
1005,Host-associated,Animal,Animal distal gut
1006,Host-associated,Animal,Animal distal gut
1007,Host-associated,Animal,Animal surface
1008,Free-living,Non-saline,Water (non-saline)
1009,Free-living,Non-saline,Soil (non-saline)
1010,Host-associated,Animal,Animal distal gut
1011,Free-living,Non-saline,Soil (non-saline)
1012,Host-associated,Animal,Animal surface
1013,Free-living,Non-saline,Soil (non-saline)
1014,Host-associated,Animal,Animal distal gut
1015,Host-associated,Animal,Animal secretion
1016,Host-associated,Animal,Animal distal gut
1017,Free-living,Non-saline,Water (non-saline)
1018,Host-associated,Animal,Animal distal gut
